"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ASCL1",1.15070418544346,-0.151392833943682,0.425629348035547,-0.35569171778784,0.722071448193414,0.791949330276647,"ASCL1"
"ASCL2",4.49914742089956,-2.13920663482427,0.601542489139845,-3.55620205296412,0.000376254746294693,0.0014193040958027,"ASCL2"
"ATOH8",3.25976553149872,-1.0894298608852,0.53695025785623,-2.02892138507344,0.0424662982212177,0.0807296865388357,"ATOH8"
"CTCF",281.293182776187,0.246928428846823,0.185365365536744,1.33211740031271,0.182821613376176,0.2486373941916,"CTCF"
"CTCFL",1.51380844512214,-0.342839550441465,0.39452391149647,-0.868995618392404,0.384849527356839,0.484625330745649,"CTCFL"
"IRF1",920.263292721452,-0.794000294702691,0.18497854327797,-4.29239132621741,1.76759068720108e-05,7.51226042060459e-05,"IRF1"
"IRF2",188.313356418739,0.576613387740187,0.163401936886582,3.52880387299458,0.000417442381118441,0.0014193040958027,"IRF2"
"IRF3",342.425207280119,0.195053901836933,0.0962635267236578,2.0262492812763,0.0427392458146777,0.0807296865388357,"IRF3"
"IRF4",270.601921422224,3.06904140205688,0.58635117839043,5.23413530178551,1.65759002638493e-07,1.40895152242719e-06,"IRF4"
"IRF5",537.799177457597,1.52645691538628,0.575110855310088,2.65419597159794,0.00794976423252344,0.0207916910696767,"IRF5"
"IRF6",26.9523664722238,-1.02211557095085,0.511374725442533,-1.99876043945334,0.0456342800584999,0.0816613432625787,"IRF6"
"IRF7",476.014252968789,-1.73795219048051,0.394168811188767,-4.40915704425991,1.03773754609831e-05,5.04043950962036e-05,"IRF7"
"IRF8",1111.06805938596,0.932473954497331,0.567908366661227,1.64194438616816,0.100601530070493,0.155475091927126,"IRF8"
"IRF9",502.427816400482,-0.0210264657409989,0.191881797004157,-0.109580304485805,0.912742231321277,0.912742231321277,"IRF9"
"LYL1",245.206812504652,1.48494069310341,0.696087447694034,2.13326744796598,0.0329027929459114,0.0799067828686421,"LYL1"
"MYOD1",1.40022691605451,-0.472266106532041,0.42811408063679,-1.10313144998543,0.269970084907136,0.353037803340101,"MYOD1"
"MYOG",1.70046510066816,-0.828138144449847,0.471791885143903,-1.75530391794944,0.0792073366881274,0.128879879942457,"MYOG"
"NR1D1",33.1401942641094,-2.67986101121215,0.55082468227815,-4.86517960692782,1.1435291494458e-06,6.47999851352621e-06,"NR1D1"
"OLIG2",1.23088828580101,-0.26604135512257,0.42660898753278,-0.623618730259704,0.532878006865879,0.62475352529103,"OLIG2"
"OLIG3",1.24065885017211,-0.0829171183101177,0.404445935177295,-0.205014097307641,0.837561110900169,0.88990868033143,"OLIG3"
"PAX1",1.16370283956485,-0.171099342926715,0.425255271528118,-0.402345025170139,0.687430122679267,0.779087472369836,"PAX1"
"PAX5",38.4822456319423,5.71148020783553,0.533383334571728,10.7080214878132,9.33351861162902e-27,3.17339632795387e-25,"PAX5"
"PAX8",1.95335917117032,-1.06390182595869,0.514359608400275,-2.06840080088629,0.0386023499726345,0.0807296865388357,"PAX8"
"PAX9",2.35259727456361,-0.536345559329922,0.374945349482746,-1.4304632930368,0.152584093797166,0.225559095178419,"PAX9"
"PRDM1",111.083548258504,0.875452354856995,0.643074107907533,1.36135531518379,0.173401430131037,0.24565202601897,"PRDM1"
"RUNX1",334.421295814631,-1.07244798060553,0.327466501021186,-3.27498531074526,0.00105667467899537,0.00326608537144024,"RUNX1"
"RUNX2",192.416423889524,-3.27350610696436,0.573685292602692,-5.70610079981854,1.15593559411092e-08,1.96509050998856e-07,"RUNX2"
"RUNX3",334.011678816781,-1.15656612039741,0.416319547037099,-2.77807306581823,0.00546823205493855,0.0154933241556592,"RUNX3"
"SCRT1",1.90489369217386,-0.992810913631202,0.488864836267506,-2.03084951090231,0.0422702627924879,0.0807296865388357,"SCRT1"
"SPI1",349.180825569953,0.0981492566981068,0.791761322088074,0.123963186834212,0.901344422835451,0.912742231321277,"SPI1"
"SPIB",715.540077719424,4.57987581088862,0.825524383410387,5.54783832304061,2.89223131371456e-08,3.27786215554317e-07,"SPIB"
"STAT1",1843.89057792595,-0.496239221428561,0.283080245019085,-1.75299841709232,0.0796022787879883,0.128879879942457,"STAT1"
"STAT2",350.800031992691,0.187872473311376,0.244418198954152,0.768651737535374,0.442100082885355,0.536835814932217,"STAT2"
"TAL1",12.8556557205673,-3.61182198867169,0.695926017732163,-5.18995108192916,2.1034933473356e-07,1.43037547618821e-06,"TAL1"
